Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,Yes,No,0:23,0:25,,
Swimming,FC,Control,FNW,Yes,Yes,0:25,0:27,,
Swimming,FC,Control,FCC,Yes,No,0:27,0:29,,
Swimming,FC,Control,FNW,Yes,No,0:29,0:32,,
Swimming,FC,Control,FNW,Yes,Yes,0:32,0:35,,
Swimming,FC,Control,FNW,Yes,No,0:35,0:36,,
Swimming,FC,Control,FNW,Yes,Yes,0:36,0:38,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:38,0:39,,
Swimming,FS,Stimulus,FNW,Yes,No,0:39,0:41,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:41,0:45,,
Swimming,FS,Stimulus,FNW,Yes,No,0:45,0:47,,
Swimming,FS,Stimulus,FSC,Yes,No,0:47,0:49,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:49,0:52,,
Swimming,FS,Stimulus,FNW,Yes,No,0:52,0:55,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:55,0:57,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:57,0:59,,
Swimming,FS,Stimulus,FSC,Yes,No,0:59,1:04,,
Swimming,FS,Stimulus,FNW,Yes,No,1:04,1:07,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:07,1:08,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:08,1:12,,
Swimming,FS,Stimulus,FSC,Yes,No,1:12,1:14,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:14,1:16,,
Swimming,FS,Stimulus,FSC,Yes,No,1:16,1:19,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:19,1:21,,
Swimming,FS,Stimulus,FSC,Yes,No,1:21,1:29,,
Swimming,FS,Stimulus,FNW,Yes,No,1:29,1:34,,
Swimming,FS,Stimulus,FSC,Yes,No,1:34,1:36,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:36,1:37,,
Swimming,FS,Stimulus,FNW,Yes,No,1:37,1:41,,
Swimming,FS,Stimulus,FNW,Yes,No,1:41,1:45,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:45,1:49,,
Swimming,FS,Stimulus,FSC,Yes,No,1:49,1:51,,
Swimming,FS,Stimulus,FNW,Yes,No,1:51,1:54,,
Swimming,FS,Stimulus,FSC,Yes,No,1:54,1:58,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:58,2:03,,
Swimming,FS,Stimulus,FSC,Yes,No,2:03,2:07,,
Swimming,FS,Stimulus,FNW,Yes,No,2:07,2:10,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:10,2:11,,
Swimming,FS,Stimulus,FSC,Yes,No,2:11,2:14,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:14,2:16,,
Swimming,FS,Stimulus,FSC,Yes,No,2:16,2:21,,
Swimming,FS,Stimulus,FNW,Yes,No,2:21,2:22,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:22,2:24,,
Swimming,FS,Stimulus,FNW,Yes,No,2:24,2:25,,
Swimming,FS,Stimulus,FSC,Yes,No,2:25,2:29,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:29,2:30,,
Swimming,FS,Stimulus,FSC,Yes,No,2:30,2:34,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:34,2:35,,
Swimming,FS,Stimulus,FSC,Yes,No,2:35,2:38,,
Swimming,FS,Stimulus,FNW,Yes,No,2:38,2:39,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:39,2:40,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:40,2:41,,
Swimming,FS,Stimulus,FSC,Yes,No,2:41,2:42,,
Swimming,FS,Stimulus,FNW,Yes,No,2:42,2:44,,
Swimming,FS,Stimulus,FSC,Yes,No,2:44,2:55,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:55,2:58,,
Swimming,FS,Stimulus,FSC,Yes,No,2:58,2:59,,
Swimming,FS,Stimulus,FNW,Yes,No,2:59,3:01,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:01,3:03,,
Swimming,FS,Stimulus,FSC,Yes,Yes,3:03,3:05,,
Swimming,FS,Stimulus,FNW,Yes,No,3:05,3:08,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:08,3:10,,
Swimming,FS,Stimulus,FNW,Yes,No,3:10,3:11,,
Swimming,FS,Stimulus,FSC,Yes,No,3:11,3:14,,
Swimming,FS,Stimulus,FSC,Yes,Yes,3:14,3:16,,
Swimming,FS,Stimulus,FNW,Yes,No,3:16,3:21,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:21,3:27,,
Swimming,FS,Stimulus,FNW,Yes,No,3:27,3:30,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:30,3:33,,
Swimming,FS,Stimulus,FNW,Yes,No,3:33,3:36,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:36,3:38,,
Swimming,FS,Stimulus,FSC,Yes,No,3:38,3:39,,
Swimming,FS,Stimulus,FNW,Yes,No,3:39,3:44,,
Swimming,FS,Stimulus,FSC,Yes,No,3:44,3:46,,
Swimming,FS,Stimulus,FNW,Yes,No,3:46,3:49,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:49,3:50,,
Swimming,FS,Stimulus,FSC,Yes,No,3:50,3:52,,
Swimming,FS,Stimulus,FNW,Yes,No,3:52,3:55,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:55,3:57,,
Swimming,FS,Stimulus,FSC,Yes,Yes,3:57,3:58,,
Swimming,FS,Stimulus,FSC,Yes,No,3:58,3:59,,
Swimming,FS,Stimulus,FNW,Yes,No,3:59,4:03,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:03,4:04,,
Swimming,FS,Stimulus,FSC,Yes,Yes,4:04,4:06,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:06,4:08,,
Swimming,FS,Stimulus,FNW,Yes,No,4:08,4:11,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:11,4:12,,
Swimming,FS,Stimulus,FSC,Yes,Yes,4:12,4:14,,
Swimming,FS,Stimulus,FNW,Yes,No,4:14,4:18,,
