Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BC,Control,CW,Yes,No,0:35,0:53,*PATHETIC SWIMMING,
Sitting,BC,Control,CW,Yes,No,0:53,1:08,,
Swimming,BC,Control,FNW,No,No,1:08,1:09,,
Sitting,BC,Control,FNW,No,No,1:09,1:38,,
Swimming,BC,Control,FNW,No,No,1:38,1:50,*PATHETIC SWIMMING,
Sitting,BC,Control,FNW,No,No,1:50,1:57,,
Swimming,BC,Control,FNW,No,No,1:57,2:00,*PATHETIC SWIMMING,
Sitting,BC,Control,FNW,No,No,2:00,2:03,,
Swimming,BC,Control,FNW,No,No,2:03,2:05,*PATHETIC SWIMMING,
Sitting,BC,Control,FNW,No,No,2:05,2:27,,
Sitting,BC,Control,FNW,No,Yes,2:27,3:35,,
Swimming,BC,Control,FNW,No,No,3:35,3:43,,
Sitting,FC,Control,CW,Yes,No,3:43,3:47,,
Swimming,FC,Control,CW,No,No,3:47,3:53,,
Swimming,FC,Control,FCC,Yes,No,3:53,3:57,,
Swimming,FC,Control,CW,Yes,No,3:57,4:01,,
Swimming,FC,Control,FCC,Yes,No,4:01,4:12,,
Swimming,FC,Control,CW,Yes,No,4:12,4:14,,
Sitting,FC,Control,CW,Yes,No,4:14,4:20,,
Swimming,FC,Control,CW,Yes,No,4:20,4:22,,
Swimming,FC,Control,FCC,Yes,No,4:22,4:24,,
Swimming,FC,Control,CW,Yes,No,4:24,4:46,,
Sitting,FC,Control,CW,Yes,No,4:46,4:49,,
Swimming,FC,Control,CW,Yes,No,4:49,5:30,,
Swimming,FC,Control,FCC,Yes,No,5:30,5:32,,
Swimming,FC,Control,CW,Yes,No,5:32,5:35,,
