Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FSC,Yes,No,0:19,0:22,,
Sitting,FS,Stimulus,FSC,Yes,No,0:22,0:52,,
Swimming,FS,Stimulus,FNW,Yes,No,0:52,1:03,,
Swimming,FS,Stimulus,FSC,Yes,No,1:03,1:06,,
Sitting,FS,Stimulus,FSC,Yes,No,1:06,1:08,,
Swimming,FS,Stimulus,FNW,Yes,No,1:08,1:13,,
Swimming,FS,Stimulus,FSC,Yes,No,1:13,1:15,,
Swimming,FS,Stimulus,FNW,Yes,No,1:15,1:20,,
Swimming,FS,Stimulus,FSC,Yes,No,1:20,1:24,,
Sitting,FS,Stimulus,FSC,Yes,No,1:24,1:25,,
Swimming,FS,Stimulus,FNW,Yes,No,1:25,1:33,,
Swimming,FS,Stimulus,FSC,Yes,No,1:33,1:35,,
Swimming,FS,Stimulus,FNW,Yes,No,1:35,1:42,,
Swimming,FS,Stimulus,FSC,Yes,No,1:42,1:51,,
Swimming,FS,Stimulus,FNW,Yes,No,1:51,1:56,,
Swimming,FS,Stimulus,FSC,Yes,No,1:56,2:03,,
Swimming,FS,Stimulus,FNW,Yes,No,2:03,2:06,,
Swimming,FS,Stimulus,FSC,Yes,No,2:06,2:11,,
Swimming,FS,Stimulus,FNW,Yes,No,2:11,2:15,,
Swimming,FS,Stimulus,FSC,Yes,No,2:15,2:40,,
Swimming,FS,Stimulus,FNW,Yes,No,2:40,2:44,,
Swimming,FS,Stimulus,FSC,Yes,No,2:44,2:48,,
Swimming,FS,Stimulus,FNW,Yes,No,2:48,2:51,,
Swimming,FS,Stimulus,FSC,Yes,No,2:51,2:58,,
Swimming,FS,Stimulus,FNW,Yes,No,2:58,3:00,,
Swimming,FS,Stimulus,FSC,Yes,No,3:00,3:18,,
Swimming,FS,Stimulus,FNW,Yes,No,3:18,3:22,,
Swimming,FS,Stimulus,FSC,Yes,No,3:22,3:34,,
Swimming,FS,Stimulus,FNW,Yes,No,3:34,3:40,,
Swimming,FS,Stimulus,FSC,Yes,No,3:40,3:55,,
Swimming,FS,Stimulus,FNW,Yes,No,3:55,4:00,,
Swimming,FS,Stimulus,FSC,Yes,No,4:00,4:03,,
Swimming,FS,Stimulus,FNW,Yes,No,4:03,4:08,,
Swimming,FS,Stimulus,FSC,Yes,No,4:08,4:22,,
Swimming,FS,Stimulus,FNW,Yes,No,4:22,4:29,,
Swimming,FS,Stimulus,FSC,Yes,No,4:29,4:45,,
Sitting,FS,Stimulus,FSC,Yes,No,4:45,4:50,,
Swimming,FS,Stimulus,FSC,Yes,No,4:50,5:02,,
Swimming,FS,Stimulus,FNW,Yes,No,5:02,5:07,,
Swimming,FS,Stimulus,FSC,Yes,No,5:07,5:17,,
Swimming,FS,Stimulus,FNW,Yes,No,5:17,5:19,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
