Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,CW,No,No,0:14,0:15,,
Swimming,FC,Control,FCC,No,No,0:15,0:16,,
Swimming,FC,Control,FNW,Yes,No,0:16,0:18,,
Swimming,FC,Control,FCC,Yes,No,0:18,0:19,,
Swimming,FC,Control,CW,Yes,No,0:19,0:23,,
Sitting,FC,Control,BCC,No,No,0:23,0:32,,
Swimming,FC,Control,BCC,No,No,0:32,0:35,,
Sitting,FC,Control,BCC,No,No,0:35,2:01,,
Swimming,FC,Control,BCC,No,No,2:01,2:11,,
Swimming,FC,Control,BNW,No,No,2:11,2:14,,
Swimming,FC,Control,BSC,No,No,2:14,2:16,,
Sitting,FC,Control,BSC,No,No,2:16,2:20,,
Swimming,FC,Control,BNW,No,No,2:20,2:23,,
Sitting,FC,Control,BNW,No,No,2:23,2:28,,
Swimming,FC,Control,BNW,No,No,2:28,2:30,,
Sitting,FC,Control,BNW,No,No,2:30,2:33,,
Swimming,FC,Control,BNW,No,No,2:33,2:35,,
Sitting,FC,Control,BNW,No,No,2:35,2:57,,
Swimming,FC,Control,BNW,No,No,2:57,3:02,,
Swimming,FC,Control,CW,Yes,No,3:02,3:05,,
Swimming,FC,Control,FCC,Yes,No,3:05,3:09,,
Swimming,FC,Control,FNW,Yes,No,3:09,3:34,,
Swimming,FC,Control,FCC,Yes,No,3:34,3:37,,
Swimming,FC,Control,FNW,Yes,No,3:37,3:43,,
Sitting,FC,Control,FCC,Yes,Yes,3:43,3:57,,
Swimming,FC,Control,FCC,Yes,No,3:57,3:59,,
Swimming,FC,Control,FNW,Yes,No,3:59,4:43,,
Sitting,FC,Control,FCC,No,No,4:43,4:45,,
Swimming,FC,Control,FNW,Yes,No,4:45,5:14,,
