Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,Yes,No,0:20,0:21,,
Swimming,FC,Control,FCC,Yes,No,0:21,0:22,,
Swimming,FC,Control,FNW,Yes,No,0:22,0:24,,
Swimming,FC,Control,FNW,Yes,Yes,0:24,0:28,,
Swimming,FC,Control,FNW,Yes,No,0:28,0:30,,
Swimming,FC,Control,FNW,Yes,Yes,0:30,0:34,,
Swimming,FC,Control,FNW,Yes,No,0:34,0:35,,
Swimming,FC,Control,FCC,Yes,No,0:35,0:38,,
Swimming,FC,Control,FCC,Yes,Yes,0:38,0:44,,
Swimming,FC,Control,FNW,Yes,Yes,0:44,0:45,,
Swimming,FC,Control,FCC,Yes,No,0:45,0:47,,
Swimming,FC,Control,FNW,Yes,Yes,0:47,0:51,,
Swimming,FC,Control,FCC,Yes,Yes,0:51,0:57,,
Swimming,FC,Control,FNW,Yes,No,0:57,1:00,,
Swimming,FC,Control,FCC,Yes,No,1:00,1:01,,
Swimming,FC,Control,FNW,Yes,Yes,1:01,1:03,,
Swimming,FC,Control,FCC,Yes,Yes,1:03,1:06,,
Swimming,FC,Control,FCC,Yes,No,1:06,1:10,,
Swimming,FC,Control,FCC,Yes,Yes,1:10,1:17,,
Swimming,FC,Control,FCC,Yes,No,1:17,1:19,,
Swimming,FC,Control,FNW,Yes,No,1:19,1:21,,
Swimming,FC,Control,FCC,Yes,No,1:21,1:24,,
Swimming,FC,Control,FNW,Yes,Yes,1:24,1:25,,
Swimming,FC,Control,FCC,Yes,Yes,1:25,1:29,,
Swimming,FC,Control,FCC,Yes,No,1:29,1:31,,
Swimming,FC,Control,FNW,Yes,No,1:31,1:34,,
Swimming,FC,Control,FNW,Yes,Yes,1:34,1:38,,
Swimming,FC,Control,FCC,Yes,Yes,1:38,1:41,,
Swimming,FC,Control,FCC,Yes,No,1:41,1:43,,
Swimming,FC,Control,FCC,Yes,Yes,1:43,1:49,,
Swimming,FC,Control,CW,Yes,Yes,1:49,1:52,,
Swimming,BC,Control,CW,Yes,Yes,1:52,1:53,,
Sitting,BC,Control,CW,Yes,Yes,1:53,2:04,,
Swimming,BC,Control,CW,Yes,Yes,2:04,2:05,,
Swimming,BC,Control,BCC,Yes,Yes,2:05,2:07,,
Swimming,BC,Control,BCC,Yes,No,2:07,2:09,,
Swimming,BC,Control,BCC,Yes,Yes,2:09,2:12,,
Swimming,BC,Control,BNW,Yes,Yes,2:12,2:14,,
Swimming,BC,Control,BNW,Yes,No,2:14,2:19,,
Swimming,BC,Control,CW,No,Yes,2:19,2:21,,
Swimming,BC,Control,CW,Yes,Yes,2:21,2:24,,
Sitting,BC,Control,CW,Yes,Yes,2:24,2:27,,
Swimming,BC,Control,CW,Yes,Yes,2:27,2:29,,
Swimming,FC,Control,FNW,No,Yes,2:29,2:30,,
Swimming,FC,Control,FCC,Yes,Yes,2:30,2:33,,
Swimming,FC,Control,FNW,Yes,Yes,2:33,2:36,,
Swimming,FC,Control,FNW,Yes,No,2:36,2:43,,
Swimming,FC,Control,FCC,Yes,Yes,2:43,2:45,,
Swimming,FC,Control,FNW,Yes,Yes,2:45,2:50,,
Swimming,FC,Control,FNW,Yes,No,2:50,2:51,,
Swimming,FS,Stimulus,FNW,Yes,No,2:51,2:53,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:53,2:57,,
Swimming,FS,Stimulus,SW,Yes,Yes,2:57,2:58,,
Sitting,FS,Stimulus,SW,Yes,Yes,2:58,3:08,,
Swimming,FS,Stimulus,SW,Yes,Yes,3:08,3:10,,
Swimming,FS,Stimulus,FSC,Yes,Yes,3:10,3:16,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:16,3:19,,
Swimming,FS,Stimulus,FSC,Yes,Yes,3:19,3:20,,
Swimming,FS,Stimulus,SW,Yes,Yes,3:20,3:21,,
Swimming,BS,Stimulus,BSC,No,Yes,3:21,3:23,,
Swimming,BS,Stimulus,BSC,Yes,No,3:23,3:25,,
Sitting,BS,Stimulus,BSC,Yes,No,3:25,3:26,,
Swimming,BS,Stimulus,BSC,Yes,Yes,3:26,3:30,,
Swimming,BS,Stimulus,BNW,Yes,No,3:30,3:31,,
Swimming,BS,Stimulus,BNW,Yes,Yes,3:31,3:34,,
Swimming,BS,Stimulus,BNW,Yes,No,3:34,3:41,,
Swimming,BC,Control,BNW,Yes,Yes,3:41,3:45,,
Sitting,BC,Control,BNW,Yes,Yes,3:45,3:55,,
Swimming,BC,Control,BCC,No,Yes,3:55,3:59,,
Swimming,BC,Control,BCC,Yes,Yes,3:59,4:04,,
Swimming,BC,Control,BNW,Yes,Yes,4:04,4:06,,
Swimming,BC,Control,BCC,Yes,No,4:06,4:07,,
Swimming,BC,Control,CW,Yes,Yes,4:07,4:08,,
Swimming,BC,Control,BCC,Yes,Yes,4:08,4:32,,
Swimming,BC,Control,CW,Yes,Yes,4:32,4:37,,
Swimming,FC,Control,FCC,No,Yes,4:37,4:39,,
Swimming,FC,Control,FNW,Yes,Yes,4:39,4:42,,
Swimming,FC,Control,FNW,Yes,No,4:42,4:48,,
Swimming,FC,Control,FNW,Yes,Yes,4:48,4:49,,
Swimming,FC,Control,FCC,Yes,Yes,4:49,4:51,,
Swimming,FC,Control,FNW,Yes,Yes,4:51,4:55,,
Swimming,FS,Stimulus,FNW,Yes,No,4:55,4:59,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:59,5:03,,
Swimming,FS,Stimulus,FNW,Yes,No,5:03,5:04,,
Swimming,FC,Control,FNW,Yes,No,5:04,5:06,,
Swimming,FC,Control,FNW,Yes,Yes,5:06,5:07,,
Swimming,FC,Control,FCC,Yes,Yes,5:07,5:12,,
Swimming,FC,Control,FCC,Yes,No,5:12,5:14,,
Swimming,FC,Control,FNW,Yes,Yes,5:14,5:16,,
Swimming,FC,Control,FCC,Yes,Yes,5:16,5:20,,
,,,,,,,,,
,,,,,,,,,
