Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FSC,Yes,No,0:21,0:22,,
Sitting,FS,Stimulus,FSC,Yes,No,0:22,0:24,,
Swimming,FS,Stimulus,FSC,Yes,No,0:24,0:25,,
Swimming,FS,Stimulus,FNW,Yes,No,0:25,0:26,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:26,0:31,,
Swimming,FS,Stimulus,FNW,Yes,No,0:31,0:38,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:38,1:04,,
Swimming,FS,Stimulus,FNW,Yes,No,1:04,1:07,,
Sitting,FS,Stimulus,FNW,Yes,No,1:07,1:08,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:08,1:39,,
Sitting,FS,Stimulus,FNW,Yes,No,1:39,1:41,,
Swimming,FS,Stimulus,FSC,Yes,No,1:41,1:42,,
Swimming,FS,Stimulus,SW,Yes,Yes,1:42,1:44,,
Swimming,FS,Stimulus,BNW,No,Yes,1:44,1:45,,
Swimming,FS,Stimulus,BNW,No,No,1:45,1:46,,
Swimming,BS,Stimulus,BNW,No,No,1:46,1:47,,
Swimming,BS,Stimulus,BNW,No,Yes,1:47,1:50,,
Sitting,BS,Stimulus,BNW,Yes,Yes,1:50,1:58,,
Swimming,BS,Stimulus,BNW,Yes,No,1:58,2:06,,
Swimming,BC,Control,BNW,Yes,No,2:06,2:07,,
Sitting,BC,Control,BNW,Yes,Yes,2:07,2:10,,
Swimming,BC,Control,BNW,Yes,Yes,2:10,2:12,,
Sitting,BC,Control,BNW,Yes,Yes,2:12,2:13,,
Swimming,BC,Control,BNW,Yes,No,2:13,2:18,,
Swimming,BC,Control,BNW,Yes,Yes,2:18,2:21,,
Swimming,BC,Control,BNW,Yes,No,2:21,2:27,,
Swimming,BS,Stimulus,BNW,Yes,No,2:27,2:39,,
Swimming,BC,Control,BNW,Yes,Yes,2:39,2:40,,
Swimming,BC,Control,BNW,Yes,No,2:40,2:42,,
Swimming,BS,Stimulus,BNW,Yes,No,2:42,2:54,,
Sitting,BS,Stimulus,BNW,Yes,Yes,2:54,3:10,,
Swimming,BS,Stimulus,BNW,Yes,No,3:10,3:31,,
Swimming,BS,Stimulus,BNW,Yes,Yes,3:31,3:36,,
Swimming,BS,Stimulus,BNW,Yes,No,3:36,3:38,,
Swimming,BS,Stimulus,BNW,Yes,Yes,3:38,3:42,,
Swimming,BS,Stimulus,BNW,Yes,No,3:42,3:47,,
Swimming,BS,Stimulus,BNW,Yes,Yes,3:47,3:49,,
Sitting,BS,Stimulus,BNW,Yes,Yes,3:49,4:02,,
Swimming,BC,Control,BCC,No,No,4:02,4:05,,
Swimming,BC,Control,BNW,Yes,No,4:05,4:09,,
Swimming,BS,Stimulus,BNW,Yes,No,4:09,4:21,,
Swimming,BS,Stimulus,BNW,Yes,Yes,4:21,4:24,,
Swimming,BS,Stimulus,BNW,Yes,No,4:24,4:29,,
Swimming,BS,Stimulus,BNW,Yes,Yes,4:29,4:34,,
Swimming,BS,Stimulus,BNW,Yes,No,4:34,4:41,,
Swimming,BC,Control,BNW,Yes,No,4:41,4:43,,
Swimming,BC,Control,BNW,Yes,Yes,4:43,4:47,,
Swimming,BC,Control,BNW,Yes,No,4:47,4:49,,
Swimming,BC,Control,BNW,Yes,Yes,4:49,4:50,,
Swimming,BC,Control,BNW,Yes,No,4:50,4:51,,
Swimming,BC,Control,BNW,Yes,Yes,4:51,4:52,,
Swimming,BS,Stimulus,BNW,Yes,No,4:52,4:57,,
Swimming,BC,Control,BNW,Yes,No,4:57,4:58,,
Swimming,BC,Control,BNW,Yes,Yes,4:58,5:02,,
Swimming,BC,Control,BNW,Yes,No,5:02,5:04,,
Swimming,BC,Control,BNW,Yes,Yes,5:04,5:06,,
Swimming,BS,Stimulus,BNW,Yes,Yes,5:06,5:08,,
Swimming,BS,Stimulus,BSC,No,No,5:08,5:10,,
Swimming,BS,Stimulus,BNW,Yes,No,5:10,5:11,,
Swimming,BS,Stimulus,BNW,Yes,Yes,5:11,5:14,,
Swimming,BS,Stimulus,BNW,Yes,No,5:14,5:21,,
,,,,,,,,,
