Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,CW,Yes,No,0:19,0:20,,
Swimming,FC,Control,FCC,Yes,No,0:20,0:24,,
Sitting,FC,Control,FNW,Yes,No,0:24,0:53,,
Sitting,FC,Control,FNW,Yes,Yes,0:53,1:11,,
Swimming,FC,Control,FNW,Yes,No,1:11,1:12,,
Swimming,FC,Control,FCC,Yes,No,1:12,1:21,,
Swimming,FC,Control,CW,Yes,No,1:21,1:24,,
Swimming,FC,Control,FCC,Yes,No,1:24,1:25,,
Swimming,FC,Control,CW,Yes,No,1:25,1:29,,
Swimming,FC,Control,FCC,Yes,No,1:29,1:31,,
Swimming,FC,Control,CW,Yes,No,1:31,1:32,,
Swimming,FC,Control,FCC,Yes,No,1:32,1:48,,
Swimming,FC,Control,FNW,Yes,No,1:48,1:51,,
Swimming,FC,Control,FCC,Yes,No,1:51,2:12,,
Swimming,FC,Control,CW,Yes,No,2:12,2:16,,
Swimming,FC,Control,FCC,Yes,No,2:16,2:18,,
Swimming,FC,Control,CW,Yes,No,2:18,2:28,,
Swimming,FC,Control,FCC,Yes,No,2:28,2:49,,
Swimming,FC,Control,CW,Yes,No,2:49,2:54,,
Swimming,FC,Control,FCC,Yes,No,2:54,3:00,,
Swimming,FC,Control,CW,Yes,No,3:00,3:04,,
Swimming,FC,Control,FCC,Yes,No,3:04,3:19,,
Sitting,FC,Control,FNW,Yes,No,3:19,3:23,,
Swimming,FC,Control,FNW,Yes,No,3:23,3:25,,
Sitting,FC,Control,FNW,Yes,No,3:25,3:29,,
Swimming,FC,Control,FNW,Yes,No,3:29,3:32,,
Sitting,FC,Control,FSC,No,No,3:32,3:56,,
Sitting,FC,Control,FSC,No,Yes,3:56,5:19,,
,,,,,,,,,
