Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BC,Control,FNW,No,No,0:19,0:22,,
Sitting,BC,Control,FNW,No,No,0:22,0:29,,
Swimming,BC,Control,FNW,No,No,0:29,0:41,*WEIRD LITTLE LEG MOVEMENTS THAT AREN'T ACTUALLY PROPELLING THE TURTLE FORWARD,
Sitting,FC,Control,FNW,No,No,0:41,1:14,,
Swimming,FC,Control,FNW,No,No,1:14,1:23,,
Swimming,FC,Control,FCC,Yes,No,1:23,1:29,,
Swimming,FC,Control,FNW,Yes,No,1:29,1:33,,
Swimming,FC,Control,FCC,Yes,No,1:33,1:46,,
Sitting,FC,Control,FCC,Yes,No,1:46,2:11,,
Swimming,FC,Control,FCC,Yes,No,2:11,2:23,,
Swimming,FC,Control,FNW,Yes,No,2:23,2:37,,
Swimming,FC,Control,FCC,Yes,No,2:37,2:42,,
Sitting,FC,Control,FCC,Yes,Yes,2:42,3:28,,
Sitting,FC,Control,FCC,Yes,No,3:28,3:30,,
Swimming,FC,Control,FCC,Yes,No,3:30,3:57,,
Sitting,FC,Control,FCC,Yes,Yes,3:57,4:22,,
Swimming,FC,Control,FCC,Yes,No,4:22,4:24,,
Swimming,FC,Control,CW,Yes,No,4:24,4:26,,
Sitting,FC,Control,CW,Yes,No,4:26,5:19,,
