Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FNW,Yes,No,0:18,0:23,,
Sitting,FS,Stimulus,FSC,Yes,No,0:23,0:32,,
Swimming,FS,Stimulus,FSC,Yes,No,0:32,0:38,,
Sitting,FS,Stimulus,FNW,Yes,No,0:38,0:45,,
Swimming,FS,Stimulus,FNW,Yes,No,0:45,0:46,,
Swimming,FS,Stimulus,FSC,Yes,No,0:46,0:54,,
Sitting,FS,Stimulus,FSC,Yes,No,0:54,0:55,,
Swimming,FS,Stimulus,FSC,Yes,No,0:55,0:58,,
Sitting,FS,Stimulus,FSC,Yes,No,0:58,1:00,,
Swimming,FS,Stimulus,FSC,Yes,No,1:00,1:04,,
Swimming,FS,Stimulus,FNW,Yes,No,1:04,1:50,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:50,1:52,,
Swimming,FS,Stimulus,FNW,Yes,No,1:52,1:53,,
Swimming,FS,Stimulus,FSC,Yes,No,1:53,1:57,,
Swimming,FS,Stimulus,FNW,Yes,No,1:57,2:00,,
Swimming,FS,Stimulus,FSC,Yes,No,2:00,2:03,,
Sitting,FS,Stimulus,FSC,Yes,No,2:03,2:05,,
Swimming,FS,Stimulus,FSC,Yes,No,2:05,2:07,,
Sitting,FS,Stimulus,FSC,Yes,No,2:07,2:10,,
Swimming,FS,Stimulus,FSC,Yes,No,2:10,2:13,,
Swimming,FS,Stimulus,SW,Yes,No,2:13,2:15,,
Swimming,FS,Stimulus,FSC,Yes,No,2:15,2:16,,
Swimming,FS,Stimulus,SW,Yes,No,2:16,2:21,,
Swimming,FS,Stimulus,FSC,Yes,No,2:21,2:36,,
Sitting,FS,Stimulus,FSC,Yes,No,2:36,2:40,,
Swimming,FS,Stimulus,FSC,Yes,No,2:40,2:46,,
Swimming,FS,Stimulus,FNW,Yes,No,2:46,2:59,,
Swimming,FS,Stimulus,FSC,Yes,No,2:59,3:05,,
Swimming,FS,Stimulus,SW,Yes,No,3:05,3:07,,
Swimming,FS,Stimulus,FSC,Yes,No,3:07,3:15,,
Swimming,FS,Stimulus,FNW,Yes,No,3:15,3:32,,
Swimming,FS,Stimulus,FSC,Yes,No,3:32,3:41,,
Swimming,FS,Stimulus,FNW,Yes,No,3:41,4:17,,
Sitting,FS,Stimulus,FSC,Yes,No,4:17,4:18,,
Swimming,FS,Stimulus,FSC,Yes,No,4:18,4:24,,
Sitting,FS,Stimulus,SW,Yes,Yes,4:24,4:41,,
Swimming,FS,Stimulus,SW,Yes,No,4:41,4:47,,
Swimming,FS,Stimulus,FSC,Yes,No,4:47,4:50,,
Sitting,FS,Stimulus,FSC,Yes,No,4:50,4:54,,
Swimming,FS,Stimulus,FSC,Yes,No,4:54,4:58,,
Sitting,FS,Stimulus,FSC,Yes,No,4:58,5:04,,
Swimming,FS,Stimulus,FSC,Yes,No,5:04,5:10,,
Swimming,FS,Stimulus,FNW,Yes,No,5:10,5:13,,
Sitting,FS,Stimulus,FNW,Yes,No,5:13,5:18,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
