Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,No,No,0:19,0:21,,
Swimming,FC,Control,FNW,Yes,No,0:21,0:26,,
Swimming,FC,Control,FCC,Yes,No,0:26,0:27,,
Swimming,FC,Control,FNW,Yes,No,0:27,0:35,,
Swimming,FC,Control,FCC,Yes,No,0:35,0:39,,
Swimming,FC,Control,FNW,Yes,No,0:39,0:41,,
Swimming,FC,Control,FCC,Yes,No,0:41,0:46,,
Swimming,FC,Control,FNW,Yes,No,0:46,0:49,,
Swimming,FC,Control,FCC,Yes,No,0:49,0:53,,
Swimming,FC,Control,FNW,Yes,No,0:53,0:55,,
Swimming,FC,Control,FCC,Yes,No,0:55,1:02,,
Swimming,FC,Control,FNW,Yes,No,1:02,1:03,,
Swimming,FC,Control,FCC,Yes,No,1:03,1:16,,
Sitting,FC,Control,FNW,Yes,Yes,1:16,1:25,,
Swimming,FC,Control,FNW,Yes,No,1:25,1:34,,
Swimming,FC,Control,FCC,Yes,No,1:34,1:44,,
Swimming,FC,Control,FNW,Yes,No,1:44,1:45,,
Swimming,FC,Control,FCC,Yes,No,1:45,1:55,,
Sitting,FC,Control,FNW,Yes,Yes,1:55,2:01,,
Swimming,FC,Control,FNW,Yes,Yes,2:01,2:03,,
Swimming,FC,Control,FCC,Yes,Yes,2:03,2:04,,
Swimming,FC,Control,FCC,Yes,No,2:04,2:07,,
Swimming,FC,Control,FNW,Yes,No,2:07,2:10,,
Swimming,FC,Control,FCC,Yes,No,2:10,2:12,,
Swimming,FC,Control,FNW,Yes,No,2:12,2:14,,
Swimming,FC,Control,FCC,Yes,No,2:14,2:19,,
Swimming,FC,Control,FNW,Yes,No,2:19,2:25,,
Sitting,FC,Control,FNW,Yes,Yes,2:25,2:30,,
Swimming,FC,Control,FNW,Yes,Yes,2:30,2:32,,
Swimming,FC,Control,FCC,Yes,No,2:32,2:47,,
Swimming,FC,Control,FNW,Yes,No,2:47,2:49,,
Swimming,FC,Control,FNW,Yes,Yes,2:49,2:50,,
Sitting,FC,Control,FNW,Yes,Yes,2:50,2:56,,
Swimming,FC,Control,FNW,Yes,Yes,2:56,3:00,"*Not really a swim motion but a shifting of weight, but the turlte still shifted which wall it was facing",
Sitting,FC,Control,FCC,Yes,Yes,0:00,0:01,,
Swimming,FC,Control,FCC,Yes,No,0:01,0:02,,
Swimming,FC,Control,FNW,Yes,No,0:02,0:07,,
Sitting,FC,Control,FNW,Yes,Yes,0:07,0:14,,
Swimming,FC,Control,FNW,Yes,Yes,0:14,0:16,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:16,0:17,,
Swimming,FS,Stimulus,FNW,Yes,No,0:17,0:21,,
Swimming,FC,Control,FNW,Yes,No,0:21,0:27,,
Swimming,FC,Control,FCC,Yes,No,0:27,0:30,,
Sitting,FC,Control,FCC,Yes,Yes,0:30,0:33,,
Swimming,FC,Control,FCC,Yes,No,0:33,0:37,,
Swimming,FC,Control,FNW,Yes,No,0:37,0:49,,
Swimming,FC,Control,FCC,Yes,No,0:49,1:04,,
Swimming,FC,Control,FNW,Yes,No,1:04,1:09,,
Swimming,FC,Control,FCC,Yes,No,1:09,1:18,,
Swimming,FC,Control,FNW,Yes,No,1:18,1:19,,
Swimming,FC,Control,FCC,Yes,No,1:19,1:36,,
Swimming,FC,Control,FNW,Yes,No,1:36,1:37,,
Swimming,FC,Control,FCC,Yes,No,1:37,1:39,,
Swimming,FC,Control,FNW,Yes,No,1:39,1:41,,
Sitting,FC,Control,FNW,Yes,Yes,1:41,1:45,,
Swimming,FC,Control,FCC,Yes,No,1:45,1:50,,
Swimming,FC,Control,FNW,Yes,No,1:50,1:52,,
Swimming,FC,Control,FCC,Yes,No,1:52,2:12,,
Sitting,FC,Control,FCC,Yes,Yes,2:12,2:19,,
