Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:23,2:32,,
Swimming,Center,Center,FNW,No,No,2:32,2:37,,
Sitting,FC,Control,FNW,No,No,2:37,2:55,,
Swimming,FC,Control,FNW,No,No,2:55,3:00,*Barely there movements,
Swimming,FC,Control,FNW,No,No,0:00,0:04,,
Sitting,FC,Control,FNW,No,No,0:04,0:10,,
Swimming,FC,Control,FNW,No,No,0:10,0:15,,
Sitting,FC,Control,FNW,No,No,0:15,0:24,,
Swimming,FC,Control,FNW,No,No,0:24,0:26,,
Swimming,FC,Control,FNW,Yes,No,0:26,0:33,,
Swimming,FC,Control,CW,No,No,0:33,0:42,,
Swimming,FC,Control,CW,Yes,No,0:42,0:43,,
Swimming,FC,Control,FCC,Yes,No,0:43,0:52,,
Sitting,FC,Control,FNW,Yes,Yes,0:52,0:57,,
Swimming,FC,Control,FNW,Yes,No,0:57,0:59,,
Sitting,FC,Control,FNW,Yes,No,0:59,1:02,,
Swimming,FC,Control,FNW,Yes,No,1:02,1:12,,
Swimming,FC,Control,FCC,Yes,No,1:12,1:23,,
Swimming,FC,Control,FNW,Yes,No,1:23,1:27,,
Swimming,FC,Control,FCC,Yes,No,1:27,1:57,,
Swimming,FC,Control,FNW,Yes,No,1:57,1:59,,
Swimming,FC,Control,FCC,Yes,No,1:59,2:16,,
Sitting,FC,Control,FCC,Yes,Yes,2:16,2:23,*Overall this was a slow turtle,
