Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:19,3:00,*SITTING WITH HEAD OUT OF SHELL - LOOKS AROUND EVERY NOW AND THEN - FEET FULLY RETRACTED,
Sitting,Center,Center,FNW,No,No,0:00,0:25,,
Swimming,FC,Control,FCC,No,No,0:25,0:35,*NOT REALLY SWIMMING - GENTLE SHIFTING WITH FEET ON FLOOR,
Sitting,FC,Control,CW,No,Yes,0:35,0:53,,
Swimming,FC,Control,CW,No,No,0:53,1:09,,
Swimming,FC,Control,CW,Yes,No,1:09,1:12,,
Swimming,FC,Control,FCC,Yes,No,1:12,1:18,,
Sitting,FC,Control,FCC,Yes,No,1:18,1:23,,
Sitting,FC,Control,FCC,Yes,Yes,1:23,1:39,,
Sitting,FC,Control,FCC,Yes,No,1:39,1:46,,
Swimming,FC,Control,FCC,Yes,No,1:46,1:56,*SLOWEST ROTATION TO CW EVER,
Swimming,FC,Control,CW,Yes,No,1:56,2:08,,
Swimming,BC,Control,CW,Yes,No,2:08,2:12,,
Swimming,BC,Control,BCC,No,No,2:12,2:17,,
Sitting,BC,Control,BCC,Yes,No,2:17,2:19,,
