Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:19,3:00,,
Sitting,Center,Center,FNW,No,No,0:00,0:06,,
Sitting,Center,Center,FNW,No,Yes,0:06,0:19,,
Sitting,Center,Center,FNW,No,No,0:19,1:13,,
Sitting,Center,Center,FNW,No,Yes,1:13,1:29,,
Sitting,Center,Center,FNW,No,No,1:29,1:31,,
Swimming,FC,Control,FNW,No,No,1:31,1:33,,
Swimming,FC,Control,FCC,No,No,1:33,1:39,,
Swimming,FC,Control,FNW,Yes,No,1:39,1:40,,
Sitting,FC,Control,FNW,Yes,No,1:40,1:44,,
Swimming,FC,Control,FNW,Yes,No,1:44,1:47,,
Sitting,FC,Control,FNW,Yes,No,1:47,1:52,,
Swimming,FC,Control,FNW,Yes,No,1:52,1:55,,
Swimming,FC,Control,FCC,Yes,No,1:55,2:01,,
Sitting,FC,Control,FCC,Yes,No,2:01,2:07,,
Sitting,FC,Control,FCC,Yes,Yes,2:07,2:14,,
Sitting,FC,Control,FCC,Yes,No,2:14,2:19,,
