Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BC,Control,BCC,No,No,0:22,0:23,,
Swimming,BC,Control,CW,No,No,0:23,0:25,,
Swimming,FC,Control,CW,Yes,No,0:25,0:37,,
Swimming,FC,Control,FCC,No,No,0:37,0:43,,
Sitting,FC,Control,FCC,No,No,0:43,0:50,,
Swimming,FC,Control,FCC,No,No,0:50,0:57,*The feet are moving but there isn't really any momentum propelling the turtle to a different position,
Swimming,FC,Control,FCC,Yes,No,0:57,1:15,,
Swimming,FC,Control,CW,Yes,No,1:15,1:39,,
Swimming,FC,Control,FCC,Yes,No,1:39,1:42,,
Sitting,FC,Control,FCC,Yes,Yes,1:42,2:16,,
Swimming,FC,Control,FCC,Yes,No,2:16,2:21,,
Swimming,FC,Control,CW,Yes,No,2:21,2:27,,
Swimming,FC,Control,FCC,Yes,No,2:27,2:38,,
Sitting,FC,Control,FCC,Yes,Yes,2:38,3:00,,
Sitting,FC,Control,FCC,Yes,Yes,0:00,0:02,,
Swimming,FC,Control,FCC,Yes,No,0:02,0:03,,
Swimming,FC,Control,CW,Yes,No,0:03,0:05,,
Swimming,FC,Control,FCC,Yes,No,0:05,0:24,,
Sitting,FC,Control,FCC,Yes,Yes,0:24,0:33,,
Swimming,FC,Control,FCC,Yes,No,0:33,0:34,,
Swimming,FC,Control,CW,Yes,No,0:34,0:42,,
Swimming,FC,Control,FCC,Yes,No,0:42,0:54,,
Sitting,FC,Control,FCC,Yes,Yes,0:54,1:44,,
Swimming,FC,Control,CW,Yes,No,1:44,1:52,,
Swimming,FC,Control,FCC,Yes,No,1:52,2:22,,
