Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FSC,No,No,0:19,0:26,,
Swimming,FS,Stimulus,SW,No,No,0:26,0:30,,
Swimming,FS,Stimulus,SW,Yes,No,0:30,0:32,,
Swimming,FS,Stimulus,FSC,No,No,0:32,0:34,,
Swimming,FS,Stimulus,FSC,Yes,No,0:34,0:41,*LOOKS A BIT MORE LIKE CLAWING THAN SWIMMING IN PLACE,
Swimming,FS,Stimulus,FNW,Yes,No,0:41,1:13,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:13,1:37,,
Swimming,FS,Stimulus,FNW,Yes,No,1:37,1:41,,
Swimming,FC,Control,FNW,Yes,No,1:41,1:46,,
Sitting,FC,Control,FNW,Yes,No,1:46,1:48,,
Swimming,FC,Control,CW,No,No,1:48,1:53,,
Swimming,FC,Control,CW,Yes,No,1:53,1:55,,
Swimming,FC,Control,FCC,Yes,No,1:55,1:58,,
Sitting,FC,Control,FNW,Yes,Yes,1:58,2:03,,
Swimming,FC,Control,FNW,Yes,No,2:03,2:09,,
Swimming,FS,Stimulus,FNW,Yes,No,2:09,2:17,,
Swimming,FS,Stimulus,FSC,Yes,No,2:17,2:25,,
Swimming,FS,Stimulus,FNW,Yes,No,2:25,2:30,,
Swimming,FS,Stimulus,FSC,Yes,No,2:30,2:33,,
Swimming,FS,Stimulus,FNW,Yes,No,2:33,2:37,,
Swimming,FS,Stimulus,FSC,Yes,No,2:37,2:42,,
Swimming,FS,Stimulus,FNW,Yes,No,2:42,2:43,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:43,2:52,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:52,2:53,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:53,3:00,,
Swimming,FS,Stimulus,FSC,Yes,No,0:00,0:05,,
Swimming,FS,Stimulus,SW,Yes,No,0:05,0:07,,
Swimming,BS,Stimulus,SW,Yes,No,0:07,0:09,,
Swimming,BS,Stimulus,BSC,Yes,No,0:09,0:12,,
Sitting,BS,Stimulus,BSC,Yes,Yes,0:12,1:01,,
Swimming,BS,Stimulus,BSC,Yes,No,1:01,1:03,,
Swimming,BS,Stimulus,SW,Yes,No,1:03,1:08,,
Swimming,BS,Stimulus,BSC,Yes,No,1:08,1:16,,
Swimming,BS,Stimulus,BNW,Yes,No,1:16,1:21,,
Sitting,BS,Stimulus,BNW,Yes,No,1:21,1:42,,
Swimming,BS,Stimulus,BNW,Yes,No,1:42,1:54,,
Swimming,BC,Control,BNW,Yes,No,1:54,2:14,,
Swimming,BC,Control,BNW,Yes,Yes,2:14,2:18,,
Swimming,BC,Control,BNW,Yes,No,2:18,2:19,,
