Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,BS,Stimulus,BSC,No,No,0:19,1:39,,
Swimming,BS,Stimulus,SW,Yes,No,1:39,1:53,*SLOW AS HELL ROTATION TOWARDS FRONT,
Swimming,FS,Stimulus,SW,Yes,No,1:53,2:06,,
Swimming,FS,Stimulus,FSC,Yes,No,2:06,2:16,,
Sitting,FS,Stimulus,FSC,Yes,No,2:16,2:18,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:18,2:43,,
Swimming,FS,Stimulus,SW,Yes,No,2:43,2:49,,
Swimming,FS,Stimulus,FSC,Yes,No,2:49,2:59,,
Sitting,FS,Stimulus,FSC,Yes,No,2:59,3:00,,
Sitting,FS,Stimulus,FSC,Yes,No,0:00,0:14,,
Swimming,FS,Stimulus,FSC,Yes,No,0:14,1:01,*SLOW BARELY THERE LEG KICKS,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:01,2:19,,
