Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:22,3:00,,
Sitting,Center,Center,FNW,No,No,0:00,1:08,*0:24 first time she poked head out of shell instead of being fully retracted,
Sitting,Center,Center,FNW,No,Yes,1:08,1:17,,
Sitting,Center,Center,FNW,No,No,1:17,1:18,,
Swimming,FS,Stimulus,FSC,No,No,1:18,1:20,,
Swimming,FS,Stimulus,SW,No,No,1:20,1:23,,
Swimming,BS,Stimulus,BSC,No,No,1:23,1:28,,
Sitting,BS,Stimulus,BNW,No,Yes,1:28,1:48,,
Swimming,BS,Stimulus,BNW,Yes,No,1:48,1:56,,
Swimming,BS,Stimulus,CW,No,No,1:56,1:58,,
Sitting,BS,Stimulus,CW,No,No,1:58,2:01,,
Swimming,BC,Control,CW,No,No,2:01,2:02,,
Swimming,BC,Control,BCC,No,No,2:02,2:07,,
Swimming,BC,Control,BCC,No,Yes,2:07,2:08,,
Sitting,BC,Control,BCC,No,Yes,2:08,2:22,,
