Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,FS,Stimulus,SW,Yes,No,0:17,0:20,,
Swimming,FS,Stimulus,SW,Yes,No,0:20,0:22,,
Swimming,FS,Stimulus,FSC,Yes,No,0:22,0:30,,
Swimming,FS,Stimulus,FNW,Yes,No,0:30,0:52,,
Sitting,FC,Control,FNW,Yes,Yes,0:52,1:07,*Crossed the line and sat with head up,
Swimming,FC,Control,FNW,Yes,No,1:07,1:16,,
Swimming,FC,Control,CW,No,No,1:16,1:22,,
Swimming,FC,Control,FCC,Yes,No,1:22,1:37,,
Swimming,FC,Control,FNW,Yes,No,1:37,1:39,,
Swimming,FC,Control,FCC,Yes,No,1:39,1:59,,
Swimming,FC,Control,FNW,Yes,No,1:59,2:12,,
Sitting,FC,Control,FNW,Yes,Yes,2:12,2:25,,
Swimming,FC,Control,FNW,Yes,No,2:25,2:36,,
Swimming,FC,Control,FCC,Yes,No,2:36,2:56,,
Swimming,FC,Control,FNW,Yes,No,2:56,2:58,,
Swimming,FC,Control,FCC,Yes,No,2:58,3:00,,
Swimming,FC,Control,FCC,Yes,No,0:00,0:19,,
Swimming,FC,Control,FNW,Yes,No,0:19,0:21,,
Swimming,FC,Control,FCC,Yes,No,0:21,0:27,,
Swimming,FC,Control,FNW,Yes,No,0:27,0:30,,
Swimming,FC,Control,FCC,Yes,No,0:30,0:32,,
Swimming,FC,Control,FNW,Yes,No,0:32,0:35,,
Sitting,FC,Control,FNW,Yes,Yes,0:35,0:47,,
Swimming,FC,Control,FNW,Yes,No,0:47,0:49,,
Swimming,FC,Control,FCC,Yes,No,0:49,1:05,,
Swimming,FC,Control,FNW,Yes,No,1:05,1:10,,
Sitting,FC,Control,FNW,Yes,Yes,1:10,1:22,,
Swimming,FC,Control,FNW,Yes,No,1:22,1:29,,
Sitting,FC,Control,FNW,Yes,Yes,1:29,1:36,,
Swimming,FC,Control,FNW,Yes,Yes,1:36,1:38,,
Swimming,FC,Control,FNW,Yes,No,1:38,1:42,,
Swimming,FC,Control,FCC,Yes,No,1:42,2:06,,
Swimming,FC,Control,FNW,Yes,No,2:06,2:08,,
Swimming,FC,Control,FCC,Yes,No,2:08,2:17,,
