Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,CW,No,No,0:19,0:26,,
Swimming,FC,Control,CW,Yes,No,0:26,0:30,,
Swimming,FC,Control,FCC,Yes,No,0:30,0:42,,
Swimming,FC,Control,FNW,Yes,No,0:42,1:02,,
Swimming,FC,Control,FCC,Yes,No,1:02,1:10,,
Sitting,FC,Control,FCC,Yes,No,1:10,1:16,,
Sitting,FC,Control,FCC,Yes,Yes,1:16,1:36,,
Sitting,FC,Control,FCC,Yes,No,1:36,2:13,,
Sitting,FC,Control,FCC,Yes,Yes,2:13,2:31,,
Sitting,FC,Control,FCC,Yes,No,2:31,2:33,,
Swimming,FC,Control,FCC,Yes,No,2:33,2:38,,
Sitting,FC,Control,FCC,Yes,No,2:38,3:00,,
Sitting,FC,Control,FCC,Yes,No,0:00,0:05,,
Swimming,FC,Control,FCC,Yes,No,0:05,0:06,,
Sitting,FC,Control,FCC,Yes,No,0:06,0:08,,
Sitting,FC,Control,FCC,Yes,Yes,0:08,0:31,,
Swimming,FC,Control,CW,Yes,No,0:31,0:36,,
Sitting,FC,Control,CW,Yes,No,0:36,0:39,,
Swimming,FC,Control,FCC,Yes,No,0:39,0:44,,
Sitting,FC,Control,FCC,Yes,No,0:44,0:48,,
Swimming,FC,Control,FCC,Yes,No,0:48,0:51,,
Sitting,FC,Control,FCC,Yes,No,0:51,1:06,,
Sitting,FC,Control,FCC,Yes,Yes,1:06,1:19,,
Sitting,FC,Control,FCC,Yes,No,1:19,1:23,,
Swimming,FC,Control,FCC,Yes,No,1:23,1:41,,
Sitting,FC,Control,FCC,Yes,No,1:41,1:48,,
Sitting,FC,Control,FCC,Yes,Yes,1:48,2:19,,
