Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,SW,No,No,0:22,0:27,,
Swimming,FS,Stimulus,SW,Yes,No,0:27,0:32,,
Swimming,FS,Stimulus,FSC,Yes,No,0:32,0:35,,
Swimming,FS,Stimulus,FNW,Yes,No,0:35,0:41,,
Sitting,FS,Stimulus,FNW,Yes,No,0:41,0:48,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:48,0:50,,
Swimming,FS,Stimulus,FNW,Yes,No,0:50,0:55,,
Swimming,FS,Stimulus,CW,No,No,0:55,0:57,,
Swimming,FC,Control,CW,No,No,0:57,1:04,,
Swimming,FC,Control,FCC,Yes,No,1:04,1:07,,
Swimming,FC,Control,FNW,Yes,No,1:07,1:14,,
Swimming,FS,Stimulus,FNW,Yes,No,1:14,1:18,,
Swimming,FS,Stimulus,FSC,Yes,No,1:18,1:21,,
Swimming,FS,Stimulus,SW,Yes,No,1:21,1:26,,
Sitting,FS,Stimulus,SW,Yes,Yes,1:26,1:38,,
Swimming,FS,Stimulus,SW,Yes,Yes,1:38,1:39,,
Swimming,FS,Stimulus,SW,Yes,No,1:39,1:43,,
Swimming,FS,Stimulus,FSC,Yes,No,1:43,1:45,,
Swimming,FS,Stimulus,FNW,Yes,No,1:45,1:52,,
Swimming,FC,Control,FNW,Yes,No,1:52,1:55,,
Sitting,FC,Control,FNW,Yes,Yes,1:55,2:02,*Stopped right on the line between FS and BS,
Swimming,FC,Control,FNW,Yes,Yes,2:02,2:04,,
Swimming,FC,Control,FCC,Yes,No,2:04,2:08,,
Swimming,FC,Control,CW,Yes,No,2:08,2:20,,
Sitting,FC,Control,CW,Yes,Yes,2:20,2:27,*Stopped right on the line between FC and BC,
Swimming,FC,Control,CW,Yes,Yes,2:27,2:30,,
Swimming,FC,Control,CW,Yes,No,2:30,2:32,,
Swimming,FC,Control,FCC,Yes,No,2:32,2:38,,
Swimming,FC,Control,FNW,Yes,No,2:38,2:46,,
Sitting,FC,Control,FNW,Yes,Yes,2:46,2:59,,
Swimming,FC,Control,FNW,Yes,Yes,2:59,3:00,,
Swimming,FC,Control,FNW,Yes,Yes,0:00,0:01,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:01,0:03,,
Swimming,FS,Stimulus,FNW,Yes,No,0:03,0:09,*Puts head down as if smelling along the floor but not sure if that is quantifiable,
Swimming,FS,Stimulus,FSC,Yes,No,0:09,0:16,,
Swimming,FS,Stimulus,FNW,Yes,No,0:16,0:18,,
Swimming,FS,Stimulus,FSC,Yes,No,0:18,0:23,,
Swimming,FS,Stimulus,FNW,Yes,No,0:23,0:30,,
Swimming,FC,Control,FNW,Yes,No,0:30,0:35,,
Swimming,FC,Control,FCC,Yes,No,0:35,0:36,,
Sitting,FC,Control,FCC,Yes,Yes,0:36,0:44,,
Swimming,FC,Control,FCC,Yes,No,0:44,1:19,"*At 0:45 the turtle shot its head back in its shell and rocketed back from the wall, then stuck head back out and went back into the corner",
Swimming,FC,Control,FNW,Yes,No,1:19,1:21,,
Swimming,FC,Control,FCC,Yes,No,1:21,1:28,,
Swimming,FC,Control,FNW,Yes,No,1:28,1:34,,
Swimming,FC,Control,FCC,Yes,No,1:34,1:45,,
Swimming,FC,Control,CW,Yes,No,1:45,1:52,,
Sitting,BC,Control,BCC,No,Yes,1:52,2:01,,
Swimming,BC,Control,BCC,No,Yes,2:01,2:03,,
Swimming,BC,Control,BCC,Yes,Yes,2:03,2:09,,
Sitting,BC,Control,BCC,Yes,Yes,2:09,2:13,,
Swimming,BC,Control,BCC,Yes,No,2:13,2:22,,
