Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:22,0:41,,
Swimming,FS,Stimulus,FSC,No,No,0:41,0:45,,
Swimming,FS,Stimulus,SW,No,No,,0:51,,
Swimming,BS,Stimulus,BSC,No,No,,0:53,,
Swimming,BS,Stimulus,BSC,Yes,No,,1:05,,
Swimming,BS,Stimulus,SW,Yes,No,,1:09,,
Swimming,FS,Stimulus,SW,Yes,No,,1:11,,
Swimming,FS,Stimulus,FSC,Yes,No,,1:17,,
Sitting,FS,Stimulus,FSC,Yes,Yes,,1:30,,
Swimming,FS,Stimulus,FSC,Yes,No,,1:46,*VERY SLOW - NOT PAINTED FRANTIC,
Swimming,FS,Stimulus,FNW,Yes,No,,2:04,,
Swimming,FS,Stimulus,FSC,Yes,No,,2:31,,
Swimming,FS,Stimulus,FNW,Yes,No,,2:34,,
Sitting,FS,Stimulus,FNW,Yes,No,,2:42,,
Swimming,FS,Stimulus,FNW,Yes,No,,2:52,,
Sitting,FS,Stimulus,FNW,Yes,No,,2:54,,
Swimming,FS,Stimulus,FNW,Yes,No,,3:00,,
Swimming,FS,Stimulus,FNW,Yes,No,0:00,0:08,,
Swimming,FC,Control,FNW,Yes,No,0:08,0:19,,
Sitting,FC,Control,FCC,Yes,Yes,,0:33,,
Sitting,FC,Control,FCC,Yes,No,,2:01,,
Swimming,FC,Control,FCC,Yes,No,,2:22,*VERY SLOW - BARELY THERE,
