Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,BC,Control,CW,No,No,0:17,0:20,,
Swimming,FC,Control,CW,No,No,0:20,0:22,,
Swimming,FC,Control,FCC,No,No,0:22,0:30,*Limbs were moving but the body really didn't advance through the arena,
Swimming,FC,Control,CW,Yes,No,0:30,0:33,,
Sitting,FC,Control,FCC,No,No,0:33,0:34,,
Swimming,FC,Control,FCC,No,No,0:34,0:36,,
Swimming,FC,Control,FNW,Yes,No,0:36,0:47,,
Sitting,FC,Control,FNW,Yes,No,0:47,0:49,,
Swimming,FC,Control,FNW,Yes,No,0:49,0:51,,
Swimming,FC,Control,FSC,No,No,0:51,0:58,,
Swimming,FC,Control,FNW,Yes,No,0:58,1:09,,
Swimming,FC,Control,FCC,No,No,1:09,1:13,,
Swimming,FC,Control,CW,Yes,No,1:13,1:17,,
Swimming,FC,Control,BCC,No,No,1:17,1:23,,
Swimming,FC,Control,BNW,No,No,1:23,1:25,,
Sitting,FC,Control,BNW,No,No,1:25,1:28,,
Swimming,FC,Control,BNW,No,No,1:28,1:30,,
Swimming,FC,Control,BSC,No,No,1:30,1:33,,
Swimming,FC,Control,SW,No,No,1:33,1:36,,
Sitting,FC,Control,SW,No,No,1:36,1:38,,
Swimming,FC,Control,FSC,No,No,1:38,1:41,,
Swimming,FC,Control,FNW,No,No,1:41,1:45,,
Swimming,FC,Control,FCC,No,No,1:45,1:47,,
Sitting,FC,Control,CW,Yes,No,1:47,1:49,,
Swimming,FC,Control,FCC,No,No,1:49,1:52,,
Swimming,FC,Control,FCC,Yes,No,1:52,1:57,,
Swimming,FC,Control,CW,Yes,No,1:57,2:02,,
Swimming,FC,Control,BCC,No,No,2:02,2:07,,
Swimming,BC,Control,BCC,No,No,2:07,2:09,,
Swimming,BC,Control,BCC,Yes,No,2:09,2:14,,
Swimming,BC,Control,BNW,Yes,No,2:14,2:20,,
Swimming,BC,Control,BCC,Yes,No,2:20,2:28,,
Swimming,BC,Control,BNW,Yes,No,2:28,2:31,,
Sitting,BC,Control,BNW,Yes,No,2:31,2:35,,
Swimming,BC,Control,BNW,Yes,No,2:35,2:36,,
Swimming,BC,Control,SW,No,No,2:36,2:39,,
Sitting,BC,Control,BNW,No,No,2:39,2:43,,
Sitting,BC,Control,BNW,No,Yes,2:43,3:00,,
Sitting,BC,Control,BNW,No,Yes,0:00,0:04,,
Sitting,BC,Control,BNW,No,No,0:04,0:08,,
Swimming,BC,Control,SW,No,No,0:08,0:12,,
Swimming,BC,Control,FSC,No,No,0:12,0:15,,
Swimming,BC,Control,FNW,No,No,0:15,0:16,,
Swimming,FC,Control,FNW,No,No,0:16,0:19,,
Swimming,FC,Control,FCC,No,No,0:19,0:21,,
Swimming,FC,Control,CW,No,No,0:21,0:22,,
Swimming,FC,Control,FCC,No,No,0:22,0:24,,
Swimming,FC,Control,FNW,Yes,No,0:24,0:32,,
Swimming,FC,Control,SW,No,No,0:32,0:34,,
Swimming,FC,Control,FSC,No,No,0:34,0:36,,
Swimming,FC,Control,SW,No,No,0:36,0:38,,
Swimming,FS,Stimulus,SW,No,No,0:38,0:40,,
Swimming,FS,Stimulus,SW,No,Yes,0:40,0:41,,
Sitting,FS,Stimulus,SW,No,Yes,0:41,0:48,,
Sitting,FS,Stimulus,SW,No,No,0:48,0:49,,
Swimming,FS,Stimulus,SW,No,No,0:49,0:50,,
Swimming,FS,Stimulus,FSC,No,No,0:50,0:58,,
Swimming,FS,Stimulus,FSC,Yes,No,0:58,0:59,,
Swimming,FS,Stimulus,SW,Yes,No,0:59,1:04,,
Sitting,FS,Stimulus,SW,Yes,No,1:04,1:06,,
Swimming,FS,Stimulus,SW,Yes,No,1:06,1:08,,
Swimming,FS,Stimulus,FSC,Yes,No,1:08,1:21,,
Swimming,FS,Stimulus,FNW,Yes,No,1:21,1:29,,
Swimming,FS,Stimulus,FCC,No,No,1:29,1:31,,
Swimming,FC,Control,FCC,No,No,1:31,1:33,,
Sitting,FC,Control,FCC,No,No,1:33,1:36,,
Sitting,FC,Control,FCC,No,Yes,1:36,1:44,,
Sitting,FC,Control,FCC,No,No,1:44,1:46,,
Swimming,FC,Control,CW,No,No,1:46,1:51,,
Sitting,FC,Control,FCC,No,No,1:51,1:52,,
Swimming,FC,Control,FCC,No,No,1:52,1:59,,
Swimming,FC,Control,FCC,Yes,No,1:59,2:08,,
Swimming,FC,Control,CW,Yes,No,2:08,2:13,,
Swimming,FC,Control,BCC,No,No,2:13,2:14,,
Sitting,FC,Control,BCC,No,No,2:14,2:15,,
Swimming,FC,Control,BCC,No,No,2:15,2:16,,
Swimming,FC,Control,BNW,No,No,2:16,2:17,,
