Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:18,1:54,,
Sitting,Center,Center,FNW,No,Yes,1:54,2:38,,
Sitting,Center,Center,FNW,No,No,2:38,2:39,,
Swimming,FS,Stimulus,FNW,No,No,2:39,2:40,,
Swimming,FS,Stimulus,FSC,No,No,2:40,2:43,,
Swimming,FS,Stimulus,FNW,Yes,No,2:43,2:47,,
Swimming,FS,Stimulus,FSC,Yes,No,2:47,2:48,,
Sitting,FS,Stimulus,FSC,Yes,No,2:48,2:50,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:50,3:00,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:00,0:10,,
Sitting,FS,Stimulus,FSC,Yes,No,0:10,0:12,,
Swimming,FS,Stimulus,FSC,Yes,No,0:12,0:29,,
Swimming,FS,Stimulus,FNW,Yes,No,0:29,0:36,,
Sitting,FS,Stimulus,FNW,Yes,No,0:36,0:40,,
Swimming,FS,Stimulus,FNW,Yes,No,0:40,0:42,,
Sitting,FS,Stimulus,FNW,Yes,No,0:42,0:43,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:43,1:17,,
Sitting,FS,Stimulus,FNW,Yes,No,1:17,1:19,,
Swimming,FS,Stimulus,FNW,Yes,No,1:19,1:22,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:22,1:23,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:23,1:29,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:29,1:36,,
Swimming,FC,Control,FNW,Yes,Yes,1:36,1:40,,
Swimming,FC,Control,FNW,Yes,No,1:40,1:42,,
Sitting,FC,Control,FNW,Yes,Yes,1:42,2:02,,
Swimming,FC,Control,CW,No,No,2:02,2:06,,
Sitting,FC,Control,CW,No,No,2:06,2:08,,
Swimming,FC,Control,CW,No,No,2:08,2:09,,
Sitting,FC,Control,CW,Yes,Yes,2:09,2:18,,
