Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:14,0:57,,
Swimming,Center,Center,FNW,No,No,0:57,1:02,,
Sitting,Center,Center,FNW,No,No,1:02,1:09,,
Swimming,FC,Control,FNW,No,No,1:09,1:16,,
Swimming,FC,Control,CW,No,No,1:16,1:22,,
Swimming,FC,Control,CW,Yes,No,1:22,1:29,,
Swimming,FC,Control,FNW,Yes,No,1:29,1:33,,
Sitting,FC,Control,FCC,Yes,Yes,1:33,2:03,,
Swimming,FC,Control,FNW,Yes,No,2:03,2:23,,
Sitting,FC,Control,FNW,Yes,Yes,2:23,2:29,,
Swimming,FC,Control,FNW,Yes,No,2:29,2:33,,
Sitting,FC,Control,FNW,Yes,Yes,2:33,2:44,,
Swimming,FC,Control,FNW,Yes,Yes,2:44,2:45,,
Sitting,FC,Control,FNW,Yes,Yes,2:45,3:00,,
Sitting,FC,Control,FNW,Yes,Yes,0:00,0:11,,
Swimming,FC,Control,FNW,Yes,Yes,0:11,0:14,,
Swimming,FC,Control,FNW,Yes,No,0:14,0:34,,
Swimming,FC,Control,FCC,Yes,No,0:34,0:42,,
Swimming,FC,Control,CW,Yes,No,0:42,0:47,,
Swimming,BC,Control,CW,Yes,No,0:47,0:50,,
Sitting,BC,Control,CW,Yes,Yes,0:50,1:11,,
Swimming,BC,Control,CW,Yes,Yes,1:11,1:13,,
Swimming,FC,Control,CW,Yes,No,1:13,1:19,,
Swimming,FC,Control,FCC,Yes,No,1:19,1:24,,
Sitting,FC,Control,FCC,Yes,Yes,1:24,1:38,,
Sitting,FC,Control,FCC,Yes,No,1:38,1:40,,
Swimming,FC,Control,FNW,Yes,No,1:40,1:53,,
Swimming,FC,Control,FCC,Yes,No,1:53,2:06,,
Swimming,FC,Control,CW,Yes,No,2:06,2:11,,
Swimming,BC,Control,BCC,No,No,2:11,2:14,,
