Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BC,Control,BCC,No,No,0:22,0:25,,
Swimming,BC,Control,CW,Yes,No,0:25,0:30,,
Swimming,FC,Control,CW,Yes,No,0:30,0:33,,
Swimming,FC,Control,FCC,Yes,No,0:33,0:38,,
Swimming,FC,Control,FNW,Yes,No,0:38,0:42,,
Swimming,FC,Control,FCC,Yes,No,0:42,0:46,,
Swimming,FC,Control,FNW,Yes,No,0:46,0:54,,
Swimming,FC,Control,FCC,Yes,No,0:54,0:55,,
Swimming,FC,Control,FNW,Yes,No,0:55,1:00,,
Swimming,FC,Control,FCC,Yes,No,1:00,1:04,,
Swimming,FC,Control,FNW,Yes,No,1:04,1:11,,
Swimming,FC,Control,FCC,Yes,No,1:11,1:17,,
Swimming,FC,Control,FNW,Yes,No,1:17,1:19,,
Swimming,FC,Control,FCC,Yes,No,1:19,1:21,,
Swimming,FC,Control,FNW,Yes,No,1:21,1:25,,
Swimming,FC,Control,FCC,Yes,No,1:25,1:32,,
Swimming,FC,Control,FNW,Yes,No,1:32,1:36,,
Swimming,FC,Control,FNW,Yes,Yes,1:36,1:37,,
Sitting,FC,Control,FNW,Yes,Yes,1:37,2:02,,
Swimming,FC,Control,FNW,Yes,No,2:02,2:06,,
Swimming,FC,Control,FCC,Yes,No,2:06,2:09,,
Swimming,FC,Control,FNW,Yes,No,2:09,2:12,,
Swimming,FC,Control,FCC,Yes,No,2:12,2:16,,
Swimming,FC,Control,FNW,Yes,No,2:16,2:18,,
Swimming,FC,Control,FCC,Yes,No,2:18,2:25,,
Swimming,FC,Control,FNW,Yes,No,2:25,2:28,,
Swimming,FC,Control,FCC,Yes,No,2:28,3:00,,
Swimming,FC,Control,FCC,Yes,No,0:00,0:06,,
Swimming,FC,Control,FNW,Yes,No,0:06,0:08,,
Swimming,FC,Control,FCC,Yes,No,0:08,0:19,,
Swimming,FC,Control,FNW,Yes,No,0:19,0:23,,
Swimming,FC,Control,FCC,Yes,No,0:23,0:33,,
Swimming,FC,Control,FNW,Yes,No,0:33,0:37,,
Sitting,FC,Control,FNW,Yes,Yes,0:37,1:02,,
Swimming,FC,Control,FNW,Yes,No,1:02,1:06,,
Swimming,FC,Control,SW,No,No,1:06,1:08,,
Swimming,FS,Stimulus,FSC,No,No,1:08,1:15,,
Swimming,FS,Stimulus,FNW,Yes,No,1:15,1:21,,
Swimming,FC,Control,FCC,No,No,1:21,1:26,,
Sitting,FC,Control,FCC,No,Yes,1:26,1:42,,
Swimming,FC,Control,FCC,No,No,1:42,1:43,,
Swimming,FC,Control,CW,No,No,1:43,1:45,,
Swimming,FC,Control,BCC,No,No,1:45,1:47,,
Swimming,BC,Control,BCC,No,No,1:47,1:48,,
Swimming,FC,Control,CW,Yes,No,1:48,1:51,,
Swimming,FC,Control,FCC,Yes,No,1:51,1:54,,
Swimming,FC,Control,FNW,Yes,No,1:54,1:57,,
Swimming,FC,Control,FCC,Yes,No,1:57,1:58,,
Swimming,FC,Control,FNW,Yes,No,1:58,2:02,,
Swimming,FC,Control,FCC,Yes,No,2:02,2:04,,
Swimming,FC,Control,FNW,Yes,No,2:04,2:07,,
Swimming,FC,Control,FCC,Yes,No,2:07,2:22,,
