Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FNW,No,No,0:26,0:29,,
Sitting,FS,Stimulus,FNW,Yes,No,0:29,0:42,,
Swimming,FS,Stimulus,FNW,Yes,No,0:42,0:44,,
Sitting,FS,Stimulus,FNW,Yes,No,0:44,0:55,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:55,1:55,,
Swimming,FS,Stimulus,FNW,Yes,No,1:55,2:04,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:04,2:16,,
Swimming,FS,Stimulus,FNW,Yes,No,2:16,2:19,,
Sitting,FS,Stimulus,FCC,No,Yes,2:19,2:29,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:29,2:31,,
Swimming,FS,Stimulus,FNW,Yes,No,2:31,2:33,,
Swimming,FC,Control,FNW,Yes,Yes,2:33,2:38,,
Swimming,FC,Control,FNW,Yes,No,2:38,2:40,,
Swimming,FC,Control,FNW,Yes,Yes,2:40,2:44,,
Swimming,FC,Control,FNW,Yes,No,2:44,2:45,,
Swimming,FC,Control,FNW,Yes,Yes,2:45,2:51,,
Swimming,FC,Control,FNW,Yes,No,2:51,2:54,,
Swimming,FS,Stimulus,FNW,Yes,No,2:54,2:55,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:55,2:57,,
Swimming,FS,Stimulus,FNW,Yes,No,2:57,3:00,,
Swimming,FC,Control,FNW,Yes,Yes,0:00,0:06,,
Swimming,FS,Stimulus,FNW,Yes,No,0:06,0:08,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:08,0:12,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:12,0:13,,
Swimming,FC,Control,FNW,Yes,No,0:13,0:15,,
Swimming,FC,Control,FNW,Yes,Yes,0:15,0:22,,
Swimming,FC,Control,FNW,Yes,No,0:22,0:23,,
Swimming,FC,Control,FCC,Yes,Yes,0:23,0:27,,
Swimming,FC,Control,FCC,Yes,No,0:27,0:28,,
Swimming,FC,Control,FCC,Yes,Yes,0:28,0:31,,
Swimming,FC,Control,FNW,Yes,Yes,0:31,0:32,,
Swimming,FC,Control,FNW,Yes,No,0:32,0:35,,
Swimming,FC,Control,FNW,Yes,Yes,0:35,0:36,,
Sitting,FC,Control,CW,No,Yes,0:36,0:52,,
Swimming,FC,Control,CW,No,Yes,0:52,0:54,,
Swimming,FC,Control,FCC,No,No,0:54,0:59,,
Swimming,FC,Control,FCC,Yes,No,0:59,1:02,,
Swimming,FC,Control,FCC,Yes,Yes,1:02,1:05,,
Swimming,FC,Control,FCC,Yes,No,1:05,1:11,,
Sitting,FC,Control,FCC,Yes,Yes,1:11,1:15,,
Swimming,FC,Control,FCC,Yes,Yes,1:15,1:18,,
Swimming,FC,Control,FCC,Yes,No,1:18,1:22,,
Swimming,FC,Control,FCC,Yes,Yes,1:22,1:25,,
Swimming,FC,Control,FCC,Yes,No,1:25,1:28,,
Swimming,FC,Control,FCC,Yes,Yes,1:28,1:33,,
Swimming,FC,Control,FCC,Yes,No,1:33,1:41,,
Sitting,FC,Control,FCC,Yes,Yes,1:41,1:42,,
Swimming,FC,Control,FCC,Yes,Yes,1:42,1:49,,
Swimming,FC,Control,FCC,Yes,No,1:49,1:51,,
Swimming,FC,Control,FNW,Yes,No,1:51,1:54,,
Swimming,FC,Control,FCC,Yes,No,1:54,1:57,,
Sitting,FC,Control,FNW,Yes,Yes,1:57,1:58,,
Swimming,FC,Control,FCC,Yes,Yes,1:58,2:01,,
Swimming,FC,Control,FCC,Yes,No,2:01,2:06,,
Swimming,FC,Control,FCC,Yes,Yes,2:06,2:12,,
Swimming,FC,Control,FCC,Yes,No,2:12,2:18,,
Swimming,FC,Control,FCC,Yes,Yes,2:18,2:24,,
Swimming,FC,Control,FCC,Yes,No,2:24,2:26,,
