Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FNW,Yes,No,0:22,0:25,,
Sitting,FS,Stimulus,FNW,Yes,No,0:25,0:50,,
Swimming,FS,Stimulus,FNW,Yes,No,0:50,1:01,,
Swimming,FS,Stimulus,SW,No,No,1:01,1:03,,
Swimming,FS,Stimulus,SW,Yes,No,1:03,1:05,,
Swimming,FS,Stimulus,FSC,Yes,No,1:05,1:08,,
Swimming,FS,Stimulus,FNW,Yes,No,1:08,1:13,,
Swimming,FC,Control,FNW,Yes,No,1:13,1:21,,
Swimming,FC,Control,FCC,Yes,No,1:21,1:28,,
Swimming,FC,Control,FNW,Yes,No,1:28,1:31,,
Sitting,FC,Control,FNW,Yes,Yes,1:31,1:43,,
Sitting,FC,Control,FCC,Yes,Yes,1:43,2:04,*He just kind of drifted into the corner,
Swimming,FC,Control,FCC,Yes,No,2:04,2:07,,
Sitting,FC,Control,FCC,Yes,No,2:07,2:14,,
Swimming,FC,Control,FCC,Yes,No,2:14,2:18,,
Sitting,FC,Control,FCC,Yes,Yes,2:18,2:29,,
Swimming,FC,Control,FCC,Yes,No,2:29,2:30,,
Swimming,FC,Control,CW,Yes,No,2:30,2:36,,
Swimming,BC,Control,BCC,No,No,2:36,2:39,,
Swimming,BC,Control,BCC,Yes,No,2:39,2:41,,
Sitting,BC,Control,BCC,Yes,Yes,2:41,2:51,,
Swimming,BC,Control,CW,Yes,Yes,2:51,2:53,,
Swimming,BC,Control,CW,Yes,No,2:53,2:55,,
Swimming,FC,Control,FCC,No,No,2:55,2:56,,
Swimming,FC,Control,FNW,No,No,2:56,2:57,,
Swimming,FC,Control,FNW,Yes,No,2:57,3:00,,
Swimming,FC,Control,FNW,Yes,No,0:00,0:02,,
Swimming,FS,Stimulus,FNW,Yes,No,0:02,0:04,,
Swimming,FS,Stimulus,FSC,Yes,No,0:04,0:06,,
Swimming,FS,Stimulus,SW,Yes,No,0:06,0:08,,
Sitting,FS,Stimulus,SW,Yes,Yes,0:08,0:15,,
Swimming,FS,Stimulus,SW,Yes,No,0:15,0:18,,
Swimming,BS,Stimulus,SW,Yes,No,0:18,0:19,,
Swimming,BS,Stimulus,BSC,Yes,No,0:19,0:24,*This is where the food cue is the strongest,
Swimming,BS,Stimulus,BNW,Yes,No,0:24,0:26,,
Swimming,BS,Stimulus,BSC,Yes,No,0:26,0:31,,
Swimming,BS,Stimulus,BNW,Yes,No,0:31,0:32,,
Sitting,BS,Stimulus,BNW,Yes,Yes,0:32,0:44,,
Swimming,BS,Stimulus,BNW,Yes,No,0:44,0:45,,
Swimming,BS,Stimulus,BSC,Yes,No,0:45,0:48,,
Sitting,BS,Stimulus,BSC,Yes,No,0:48,1:08,,
Swimming,BS,Stimulus,BSC,Yes,No,1:08,1:11,,
Sitting,BS,Stimulus,BSC,Yes,No,1:11,1:17,,
Sitting,BS,Stimulus,BSC,Yes,Yes,1:17,1:41,,
Sitting,BS,Stimulus,BSC,Yes,No,1:41,1:42,,
Swimming,BS,Stimulus,SW,Yes,No,1:42,1:45,,
Swimming,FS,Stimulus,SW,Yes,No,1:45,1:48,,
Swimming,FS,Stimulus,FSC,Yes,No,1:48,1:50,,
Swimming,FS,Stimulus,FNW,Yes,No,1:50,1:53,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:53,2:10,,
Sitting,FS,Stimulus,FSC,Yes,No,2:10,2:11,,
Swimming,FS,Stimulus,FNW,Yes,No,2:11,2:17,,
Swimming,FC,Control,FNW,Yes,No,2:17,2:20,,
Sitting,FC,Control,FNW,Yes,Yes,2:20,2:22,,
