Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:21,0:27,,
Swimming,FC,Control,FNW,No,No,0:27,0:31,,
Sitting,FC,Control,FNW,No,No,0:31,0:37,,
Swimming,FC,Control,FNW,No,No,0:37,0:42,,
Swimming,FC,Control,FCC,No,No,0:42,0:43,,
Sitting,FC,Control,FCC,No,No,0:43,0:52,,
Swimming,FC,Control,FCC,No,No,0:52,1:00,,
Swimming,FC,Control,CW,No,No,1:00,1:09,,
Sitting,FC,Control,CW,No,No,1:09,1:12,,
Swimming,FC,Control,CW,Yes,No,1:12,1:29,,
Sitting,FC,Control,CW,Yes,No,1:29,1:33,,
Sitting,FC,Control,CW,Yes,Yes,1:33,1:49,,
Sitting,FC,Control,CW,Yes,No,1:49,1:52,,
Swimming,FC,Control,CW,Yes,No,1:52,1:58,,
Swimming,FC,Control,FCC,Yes,No,1:58,2:18,*Really slow movements but not totally still,
Sitting,FC,Control,FCC,Yes,No,2:18,2:23,,
Sitting,FC,Control,FCC,Yes,Yes,2:23,2:38,,
Sitting,FC,Control,FCC,Yes,No,2:38,2:41,,
Swimming,FC,Control,FCC,Yes,No,2:41,2:45,,
Sitting,FC,Control,FCC,Yes,Yes,2:45,2:51,,
Sitting,FC,Control,FCC,Yes,No,2:51,2:56,,
Sitting,FC,Control,FCC,Yes,Yes,2:56,3:00,,
Sitting,FC,Control,FCC,Yes,Yes,0:00,0:08,,
Swimming,FC,Control,FCC,Yes,Yes,0:08,0:11,,
Swimming,FC,Control,CW,Yes,No,0:11,0:16,,
Swimming,BC,Control,BCC,No,No,0:16,0:19,,
Swimming,BC,Control,BCC,Yes,No,0:19,0:22,,
Sitting,BC,Control,BCC,Yes,Yes,0:22,0:33,,
Sitting,BC,Control,BCC,Yes,No,0:33,0:34,,
Swimming,BC,Control,CW,Yes,No,0:34,0:38,,
Swimming,FC,Control,CW,Yes,No,0:38,0:39,,
Swimming,FC,Control,FCC,Yes,No,0:39,0:42,,
Swimming,FC,Control,FNW,Yes,No,0:42,0:49,,
Swimming,FS,Stimulus,FNW,Yes,No,0:49,0:52,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:52,1:04,,
Sitting,FS,Stimulus,FNW,Yes,No,1:04,1:05,,
Swimming,FS,Stimulus,FNW,Yes,No,1:05,1:10,,
Swimming,FS,Stimulus,FSC,Yes,No,1:10,1:12,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:12,1:15,,
Swimming,FS,Stimulus,FSC,Yes,No,1:15,1:21,,
Swimming,FS,Stimulus,FNW,Yes,No,1:21,1:22,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:22,1:33,,
Swimming,FS,Stimulus,FNW,Yes,No,1:33,1:41,,
Swimming,FC,Control,FNW,Yes,No,1:41,1:55,,
Swimming,FS,Stimulus,FNW,Yes,No,1:55,1:59,,
Swimming,FS,Stimulus,FSC,Yes,No,1:59,2:03,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:03,2:08,,
Swimming,FS,Stimulus,FSC,Yes,No,2:08,2:12,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:12,2:14,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:14,2:17,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:17,2:19,,
Swimming,FS,Stimulus,FNW,Yes,No,2:19,2:20,,
Swimming,FS,Stimulus,FSC,Yes,No,2:20,2:21,,
