Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:19,0:22,*ALL MOVEMENTS SLOW AS HELL - NOT FRANTIC SWIMMING LIKE PAINTED TURTLES,
Swimming,FC,Control,FNW,No,No,0:22,0:26,,
Swimming,FC,Control,FNW,Yes,No,0:26,0:38,,
Swimming,FC,Control,CW,No,No,0:38,0:47,,
Swimming,FC,Control,CW,Yes,No,0:47,0:50,,
Swimming,FC,Control,FCC,Yes,No,0:50,1:00,,
Swimming,FC,Control,FNW,Yes,No,1:00,1:06,,
Sitting,FC,Control,FNW,Yes,Yes,1:06,1:11,,
Swimming,FC,Control,FCC,Yes,No,1:11,1:18,,
Swimming,FC,Control,FNW,Yes,No,1:18,1:20,,
Swimming,FC,Control,FCC,Yes,No,1:20,1:33,,
Sitting,FC,Control,FCC,Yes,Yes,1:33,1:42,,
Swimming,FC,Control,FCC,Yes,No,1:42,1:50,,
Swimming,FC,Control,FNW,Yes,No,1:50,1:56,,
Swimming,FC,Control,FCC,Yes,No,1:56,2:10,,
Sitting,FC,Control,FCC,Yes,Yes,2:10,2:13,,
Swimming,FC,Control,FCC,Yes,Yes,2:13,2:16,,
Sitting,FC,Control,FCC,Yes,Yes,2:16,2:19,,
Swimming,FC,Control,FCC,Yes,No,2:19,2:23,*MOVEMENTS HAVE STARTED TO PICK UP SOME SPEED,
Swimming,FC,Control,FNW,Yes,Yes,2:23,2:27,,
Swimming,FC,Control,FCC,Yes,Yes,2:27,2:33,,
Swimming,FC,Control,FCC,Yes,No,2:33,2:43,,
Swimming,FC,Control,CW,Yes,No,2:43,2:45,,
Swimming,BC,Control,CW,Yes,No,2:45,2:46,,
Swimming,BC,Control,BCC,Yes,No,2:46,2:49,,
Swimming,BC,Control,CW,Yes,No,2:49,2:51,,
Swimming,FC,Control,CW,Yes,No,2:51,2:52,,
Swimming,FC,Control,FCC,Yes,No,2:52,2:59,,
Swimming,FC,Control,CW,Yes,No,2:59,3:00,,
Swimming,FC,Control,CW,Yes,No,0:00,0:01,,
Swimming,BC,Control,BCC,No,No,0:01,0:02,,
Swimming,BC,Control,BCC,Yes,No,0:02,0:04,,
Sitting,BC,Control,BCC,Yes,Yes,0:04,0:12,,
Swimming,BC,Control,CW,Yes,No,0:12,0:14,,
Swimming,FC,Control,CW,Yes,No,0:14,0:17,,
Swimming,FC,Control,FNW,Yes,No,0:17,0:22,,
Swimming,FC,Control,FCC,Yes,No,0:22,0:36,,
Sitting,FC,Control,FCC,Yes,Yes,0:36,0:46,,
Swimming,FC,Control,FNW,Yes,Yes,0:46,0:49,,
Swimming,FC,Control,FNW,Yes,No,0:49,0:58,,
Swimming,FC,Control,FCC,Yes,No,0:58,1:01,,
Swimming,FC,Control,FNW,Yes,No,1:01,1:04,,
Swimming,FC,Control,FCC,Yes,No,1:04,1:33,,
Swimming,FC,Control,FNW,Yes,No,1:33,1:38,,
Sitting,FC,Control,FNW,Yes,Yes,1:38,1:50,,
Swimming,FC,Control,FNW,Yes,No,1:50,1:54,,
Swimming,FC,Control,FCC,Yes,No,1:54,1:56,,
Swimming,FC,Control,CW,Yes,No,1:56,1:57,,
Swimming,BC,Control,CW,Yes,No,1:57,1:59,,
Swimming,BC,Control,BCC,Yes,No,1:59,2:01,,
Sitting,BC,Control,BCC,Yes,Yes,2:01,2:05,,
Swimming,BC,Control,CW,Yes,No,2:05,2:08,,
Swimming,FC,Control,CW,Yes,No,2:08,2:09,,
Swimming,FC,Control,FCC,Yes,No,2:09,2:19,,
