Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,FC,Control,FNW,No,No,0:19,0:35,,
Sitting,FC,Control,FNW,No,Yes,0:35,0:48,,
Sitting,FC,Control,FNW,No,No,0:48,1:06,,
Sitting,FC,Control,FNW,No,Yes,1:06,1:13,,
Swimming,FC,Control,FNW,No,Yes,1:13,1:18,,
Swimming,FC,Control,FNW,Yes,No,1:18,1:22,,
Sitting,FC,Control,FNW,Yes,Yes,1:22,1:27,,
Swimming,FC,Control,FNW,Yes,Yes,1:27,1:29,,
Swimming,FC,Control,FNW,Yes,No,1:29,1:30,,
Swimming,FC,Control,SW,No,No,1:30,1:33,,
Sitting,FC,Control,FSC,No,Yes,1:33,1:44,,
Swimming,FC,Control,SW,No,Yes,1:44,1:45,,
Swimming,FS,Stimulus,SW,No,No,1:45,1:47,,
Swimming,FS,Stimulus,BSC,No,No,1:47,1:48,,
Swimming,FS,Stimulus,BSC,No,Yes,1:48,1:51,,
Swimming,BS,Stimulus,BSC,No,Yes,1:51,1:52,,
Sitting,BS,Stimulus,BSC,No,Yes,1:52,2:01,,
Swimming,BS,Stimulus,BSC,No,Yes,2:01,2:03,,
Swimming,BS,Stimulus,SW,No,No,2:03,2:04,,
Swimming,BS,Stimulus,FSC,No,No,2:04,2:05,,
Swimming,FS,Stimulus,FSC,No,No,2:05,2:07,,
Swimming,FS,Stimulus,FNW,Yes,No,2:07,2:09,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:09,2:12,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:12,2:14,,
Swimming,FS,Stimulus,FNW,Yes,No,2:14,2:15,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:15,2:18,,
Swimming,FS,Stimulus,FNW,Yes,No,2:18,2:19,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:19,2:27,,
Swimming,FS,Stimulus,FNW,Yes,No,2:27,2:35,,
Swimming,FS,Stimulus,FSC,No,Yes,2:35,2:37,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:37,2:38,,
