"Species",".epred",".lower",".upper",".width",".point",".interval"
"fmt",68.1087708972681,35.4141144092677,138.779823178767,0.95,"median","qi"
"painted",93.9641826500623,44.3777994557519,199.750698448812,0.95,"median","qi"
