"Species","treatment",".epred",".lower",".upper",".width",".point",".interval"
"fmt","0",67.8412266275374,39.3878937189655,120.383265336096,0.95,"median","qi"
"fmt","0.1",72.8259103132207,36.1582226470937,158.182735314308,0.95,"median","qi"
"fmt","1",63.890324455923,34.8991366688648,127.866529357393,0.95,"median","qi"
"fmt","10",68.8913938602157,32.6914304637901,142.348141982443,0.95,"median","qi"
"painted","0",98.8157968396646,58.3229837489155,183.517896798144,0.95,"median","qi"
"painted","0.1",71.9710071296983,37.6083271780332,162.739198290788,0.95,"median","qi"
"painted","1",99.2582965923699,49.5296128311665,204.830168426975,0.95,"median","qi"
"painted","10",104.916276940491,52.9417618744026,229.446790994463,0.95,"median","qi"
