"Species","prob_0_01","prob_0_1","prob_0_10","prob_01_1","prob_01_10","prob_1_10"
"fmt",43.115625,56.4125,47.8,61.25625,54.3125,43.825
"painted",75.34375,50.509375,44.94375,27.065625,22.85,43.128125
