"Turtle","Trial","time","treatment","Species","Side","Behavior"
"145","Trial_2","81","10","fmt","Stimulus","Swimming"
"145","Trial_3","21","10","fmt","Stimulus","Swimming"
"155","Prelim_Trial","226","10","fmt","Stimulus","Swimming"
"155","Trial_1","158","10","fmt","Stimulus","Swimming"
"155","Trial_2","122","10","fmt","Stimulus","Swimming"
"155","Trial_3","5","10","fmt","Stimulus","Swimming"
"2000","Prelim_Trial","218","1","painted","Stimulus","Swimming"
"2000","Trial_1","140","1","painted","Stimulus","Swimming"
"2000","Trial_2","6","1","painted","Stimulus","Swimming"
"2000","Trial_3","52","1","painted","Stimulus","Swimming"
"54","Prelim_Trial","13","0.1","painted","Stimulus","Swimming"
"54","Trial_1","175","0.1","painted","Stimulus","Swimming"
"54","Trial_2","34","0.1","painted","Stimulus","Swimming"
"54","Trial_3","54","0.1","painted","Stimulus","Swimming"
"55","Prelim_Trial","95","1","painted","Stimulus","Swimming"
"55","Trial_1","205","1","painted","Stimulus","Swimming"
"55","Trial_2","48","1","painted","Stimulus","Swimming"
"55","Trial_3","204","1","painted","Stimulus","Swimming"
"58","Trial_1","71","0","painted","Stimulus","Swimming"
"58","Trial_2","33","0","painted","Stimulus","Swimming"
"58","Trial_3","262","0","painted","Stimulus","Swimming"
"59","Prelim_Trial","50","10","painted","Stimulus","Swimming"
"59","Trial_1","145","10","painted","Stimulus","Swimming"
"59","Trial_2","16","10","painted","Stimulus","Swimming"
"59","Trial_3","223","10","painted","Stimulus","Swimming"
"62","Prelim_Trial","89","0.1","painted","Stimulus","Swimming"
"62","Trial_1","242","0.1","painted","Stimulus","Swimming"
"62","Trial_2","85","0.1","painted","Stimulus","Swimming"
"62","Trial_3","129","0.1","painted","Stimulus","Swimming"
"64","Prelim_Trial","12","10","painted","Stimulus","Swimming"
"64","Trial_2","72","10","painted","Stimulus","Swimming"
"64","Trial_3","170","10","painted","Stimulus","Swimming"
"65","Prelim_Trial","34","1","painted","Stimulus","Swimming"
"65","Trial_1","156","1","painted","Stimulus","Swimming"
"65","Trial_2","69","1","painted","Stimulus","Swimming"
"65","Trial_3","217","1","painted","Stimulus","Swimming"
"68","Prelim_Trial","131","1","painted","Stimulus","Swimming"
"68","Trial_1","162","1","painted","Stimulus","Swimming"
"68","Trial_2","162","1","painted","Stimulus","Swimming"
"68","Trial_3","167","1","painted","Stimulus","Swimming"
"73","Trial_2","5","0.1","painted","Stimulus","Swimming"
"73","Trial_3","33","0.1","painted","Stimulus","Swimming"
"74","Prelim_Trial","133","10","painted","Stimulus","Swimming"
"74","Trial_2","79","10","painted","Stimulus","Swimming"
"74","Trial_3","30","10","painted","Stimulus","Swimming"
"75","Prelim_Trial","223","0","painted","Stimulus","Swimming"
"75","Trial_1","44","0","painted","Stimulus","Swimming"
"75","Trial_2","91","0","painted","Stimulus","Swimming"
"75","Trial_3","47","0","painted","Stimulus","Swimming"
"76","Prelim_Trial","23","0","painted","Stimulus","Swimming"
"76","Trial_1","42","0","painted","Stimulus","Swimming"
"76","Trial_2","237","0","painted","Stimulus","Swimming"
"78","Prelim_Trial","83","10","painted","Stimulus","Swimming"
"78","Trial_2","161","10","painted","Stimulus","Swimming"
"79","Prelim_Trial","140","10","painted","Stimulus","Swimming"
"79","Trial_2","285","10","painted","Stimulus","Swimming"
"80","Prelim_Trial","106","0","painted","Stimulus","Swimming"
"80","Trial_1","198","0","painted","Stimulus","Swimming"
"80","Trial_2","100","0","painted","Stimulus","Swimming"
"80","Trial_3","251","0","painted","Stimulus","Swimming"
"81","Prelim_Trial","33","10","painted","Stimulus","Swimming"
"81","Trial_1","58","10","painted","Stimulus","Swimming"
"81","Trial_2","266","10","painted","Stimulus","Swimming"
"81","Trial_3","138","10","painted","Stimulus","Swimming"
"82","Trial_1","197","1","painted","Stimulus","Swimming"
"82","Trial_2","111","1","painted","Stimulus","Swimming"
"82","Trial_3","20","1","painted","Stimulus","Swimming"
"83","Prelim_Trial","75","0","painted","Stimulus","Swimming"
"83","Trial_1","208","0","painted","Stimulus","Swimming"
"83","Trial_3","194","0","painted","Stimulus","Swimming"
"84","Prelim_Trial","69","0.1","painted","Stimulus","Swimming"
"84","Trial_2","213","0.1","painted","Stimulus","Swimming"
"85","Prelim_Trial","213","10","painted","Stimulus","Swimming"
"85","Trial_2","69","10","painted","Stimulus","Swimming"
